Gujarati_PAT,Gujarati_SAT,Mathematics_PAT,Mathematics_SAT,Science_PAT,Science_SAT,SocialScience_PAT,SocialScience_SAT,English_PAT,English_SAT,Hindi_PAT,Hindi_SAT,Attendance,Assessment,Final_Score
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000
0,0,0,0,0,0,0,0,0,0,0,0,100,100,0.0000000  
5,10,5,10,5,10,5,10,5,10,5,10,100,100,10.0000000  
10,20,10,20,10,20,10,20,10,20,10,20,100,100,20.0000000  
15,30,15,30,15,30,15,30,15,30,15,30,100,100,30.0000000  
20,40,20,40,20,40,20,40,20,40,20,40,100,100,40.0000000  
5,25,5,25,5,25,5,25,5,25,5,25,100,100,30.0000000  
10,30,10,30,10,30,10,30,10,30,10,30,100,100,35.0000000  
15,35,15,35,15,35,15,35,15,35,15,35,100,100,40.0000000  
20,50,20,50,20,50,20,50,20,50,20,50,100,100,50.0000000  
5,15,5,15,5,15,5,15,5,15,5,15,100,100,20.0000000  
10,35,10,35,10,35,10,35,10,35,10,35,100,100,40.0000000  
15,45,15,45,15,45,15,45,15,45,15,45,100,100,50.0000000  
20,60,20,60,20,60,20,60,20,60,20,60,100,100,60.0000000  
5,20,5,20,5,20,5,20,5,20,5,20,100,100,25.0000000  
10,40,10,40,10,40,10,40,10,40,10,40,100,100,45.0000000  
15,50,15,50,15,50,15,50,15,50,15,50,100,100,55.0000000  
20,70,20,70,20,70,20,70,20,70,20,70,100,100,75.0000000  
5,30,5,30,5,30,5,30,5,30,5,30,100,100,35.0000000  
10,50,10,50,10,50,10,50,10,50,10,50,100,100,55.0000000  
15,60,15,60,15,60,15,60,15,60,15,60,100,100,65.0000000  
20,80,20,80,20,80,20,80,20,80,20,80,100,100,100.0000000  
5,35,5,35,5,35,5,35,5,35,5,35,100,100,40.0000000  
10,55,10,55,10,55,10,55,10,55,10,55,100,100,60.0000000  
15,65,15,65,15,65,15,65,15,65,15,65,100,100,70.0000000  
20,75,20,75,20,75,20,75,20,75,20,75,100,100,90.0000000  
5,40,5,40,5,40,5,40,5,40,5,40,100,100,45.0000000  
10,60,10,60,10,60,10,60,10,60,10,60,100,100,65.0000000  
15,70,15,70,15,70,15,70,15,70,15,70,100,100,75.0000000  
20,80,15,75,15,75,15,75,15,75,15,75,100,100,85.0000000  
5,45,5,45,5,45,5,45,5,45,5,45,100,100,50.0000000  
10,65,10,65,10,65,10,65,10,65,10,65,100,100,70.0000000  
15,75,15,75,15,75,15,75,15,75,15,75,100,100,80.0000000  
20,80,10,70,10,70,10,70,10,70,10,70,100,100,75.0000000  
5,50,5,50,5,50,5,50,5,50,5,50,100,100,55.0000000  
10,70,10,70,10,70,10,70,10,70,10,70,100,100,75.0000000  
15,80,15,80,15,80,15,80,15,80,15,80,100,100,90.0000000  
20,80,5,50,5,50,5,50,5,50,5,50,100,100,65.0000000  
5,55,5,55,5,55,5,55,5,55,5,55,100,100,60.0000000  
10,75,10,75,10,75,10,75,10,75,10,75,100,100,80.0000000  
15,80,10,75,10,75,10,75,10,75,10,75,100,100,85.0000000  
20,80,5,60,5,60,5,60,5,60,5,60,100,100,70.0000000  
5,60,5,60,5,60,5,60,5,60,5,60,100,100,65.0000000  
10,80,10,80,10,80,10,80,10,80,10,80,100,100,90.0000000  
15,80,5,70,5,70,5,70,5,70,5,70,100,100,75.0000000  
20,80,10,80,10,80,10,80,10,80,10,80,100,100,95.0000000  
10,57,6,15,8,32,5,65,17,32,6,78,97,88,40.56666666666668
18,74,0,74,7,65,20,48,5,56,8,35,0,58,33.13333333333334
4,35,3,24,2,4,11,28,8,24,3,36,51,8,18.033333333333335
6,47,12,41,9,25,16,57,14,80,16,52,23,33,30.600000000000005
12,35,10,32,12,28,10,8,19,1,10,20,6,19,15.633333333333335
7,65,8,49,11,79,16,47,14,53,6,41,65,45,37.4
20,20,14,74,19,33,2,21,7,66,6,46,66,56,34.06666666666667
15,0,6,72,14,23,17,48,14,43,19,69,48,79,35.36666666666667
9,68,6,53,2,58,4,22,9,37,13,64,10,68,30.800000000000004
6,28,3,14,0,66,14,76,12,42,18,7,39,2,23.166666666666668
